13:47:20.252 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
13:47:20.262 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
13:48:05.234 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/r8yz1dudoqoq3izjtzf6jek8qnq6uoi9echbchk9 to view build report, insights, and many more debugging information all at one place!

11:09:29.107 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:09:29.119 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
11:10:15.850 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/alb7ugdmbipsp4oyktkmgbfgq3xhpg3uqaa9ubjn to view build report, insights, and many more debugging information all at one place!

11:29:41.019 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:29:41.030 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
11:30:25.521 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/3qd2lst3yaajds1gemflurl7d6z4uwe8itiqbezo to view build report, insights, and many more debugging information all at one place!

11:43:59.231 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:43:59.243 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
11:44:45.168 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/vsxkqf5kow5p72vra9gonvurw4hrysiol5gz3tx0 to view build report, insights, and many more debugging information all at one place!

12:51:42.311 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
12:51:42.322 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
12:52:26.796 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/1ho9spufm1s2ub4h5jehxe9uadpldbd07c53f1t8 to view build report, insights, and many more debugging information all at one place!

12:54:02.678 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
12:54:02.692 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
12:54:11.577 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/vs0nsul6c7kbqkrqbgokbfjiazyc1vpywh1stvbx to view build report, insights, and many more debugging information all at one place!

13:24:42.820 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
13:24:42.831 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
13:25:25.375 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/ah1mctacjduusmy8jdfp8xwwr9xrljxkc52kka95 to view build report, insights, and many more debugging information all at one place!

15:34:00.495 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:34:00.507 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
15:34:57.349 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/drixroe7d17cskufyin46a5mgl2ycmadxclqjfxf to view build report, insights, and many more debugging information all at one place!

17:57:54.054 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
17:57:54.066 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
17:58:43.602 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/4a77m4v6gqn41qwmybzs2glh7bhs0x1zfh4mljjs to view build report, insights, and many more debugging information all at one place!

18:46:31.577 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
18:46:31.588 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
18:47:09.356 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/yjm2mung0t4vmccysfsh5ucywowpvjtwrclfdruu to view build report, insights, and many more debugging information all at one place!

18:47:39.361 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
18:47:39.371 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
